"shortmove","longmove","Profit","TotalTrades","Name"
18,16,0.229252,98,"Tether"
49,41,58.79,4,"MinexCoin"
27,3,13.39,7,"Genesis Vision"
17,11,165.992097,52,"SaluS"
46,23,0.852832,28,"Feathercoin"
48,17,4.912077,79,"bitCNY"
19,18,243.8,248,"Unobtanium"
10,9,0.216997,10,"KickCoin"
8,7,0.538779,40,"Cofound.it"
30,17,4.840432,118,"bitUSD"
3,2,0.000411224,600,"NewYorkCoin"
7,6,2.062066,16,"B2BX"
30,28,10.150614,51,"Ethereum Movi..."
11,9,0.311548,15,"Farad"
11,10,0.000605088,296,"FedoraCoin"
7,6,10.508139,320,"Kore"
4,2,2.020342,461,"NuBits"
29,27,0.00021193,154,"BunnyCoin"
13,10,0.00054386,208,"Zeitcoin"
22,21,0.011122,178,"Greencoin"
50,3,1.256477,111,"Argentum"
16,12,0.279772,36,"Centurion"
42,41,3.9656e-05,123,"The Cypherfunks"
3,2,1.663742,182,"AquariusCoin"
10,9,0.000881,67,"Golfcoin"
26,20,0.093982,44,"Cabbage"
7,5,0.938805,10,"Interzone"
49,38,3.92,51,"bitEUR"
11,8,0.121614,25,"Slimcoin"
7,2,0.020942,109,"QubitCoin"
19,13,458.3,110,"bitSilver"
5,4,0.010296,153,"WayGuide"
28,26,0.186787,147,"Motocoin"
23,13,1.224037,28,"SACoin"
8,7,0.114154,210,"Quebecoin"
14,6,0.189073,71,"SecretCoin"
9,8,0.010479,93,"Impact"
10,9,0.332115,158,"WARP"
38,37,0.0449,150,"Shilling"
34,9,10.789398,5,"Credence Coin"
6,5,0.048737,299,"G3N"
